,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
Departement,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,21,22,23,24,25,26,27,28,29,201.0,202.0,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
score,3.1363636363636362,7.590909090909091,4.045454545454546,2.8181818181818183,2.090909090909091,12.363636363636363,2.227272727272727,3.4545454545454546,0.6363636363636364,4.5,5.0,3.5454545454545454,26.727272727272727,10.590909090909092,1.8181818181818181,3.0454545454545454,5.681818181818182,2.909090909090909,2.9545454545454546,7.2727272727272725,5.636363636363637,1.7272727272727273,3.272727272727273,8.590909090909092,5.590909090909091,8.681818181818182,4.318181818181818,13.0,1.7272727272727273,1.7272727272727273,8.045454545454545,14.681818181818182,1.5909090909090908,15.363636363636363,11.181818181818182,13.0,1.9090909090909092,6.2727272727272725,12.636363636363637,4.136363636363637,3.272727272727273,4.045454545454546,9.409090909090908,1.9545454545454546,14.5,5.7272727272727275,1.4090909090909092,4.590909090909091,1.5909090909090908,9.454545454545455,4.590909090909091,8.863636363636363,2.8636363636363638,4.2727272727272725,9.954545454545455,3.0,9.545454545454545,12.909090909090908,2.8181818181818183,40.13636363636363,10.590909090909092,2.6363636363636362,12.136363636363637,6.0,6.7727272727272725,3.0454545454545454,4.136363636363637,12.363636363636363,9.818181818181818,27.772727272727273,2.3636363636363638,7.0,5.7727272727272725,4.454545454545454,8.454545454545455,46.13636363636363,21.863636363636363,10.181818181818182,17.181818181818183,3.1818181818181817,6.409090909090909,5.0,3.8181818181818183,10.772727272727273,7.863636363636363,7.2727272727272725,4.5,4.636363636363637,2.9545454545454546,3.6818181818181817,1.5,15.454545454545455,25.272727272727273,21.636363636363637,17.863636363636363,17.40909090909091
