"NOM,C,29","ENF_HEBER,C,2","ACT_EDUC,C,1","CHRS,C,2","ACC_ASILE,C,1","AUTRES_SOC,C,2","TRAV_PROT,C,2","HEB_PROV,C,1","ETA_PSY,C,2","URGENCES,C,1","MATERNITE,C,1","Asso_singa,N,10,0","Volo_singa,N,10,0"
Équeurdreville-Hainneville,1,0,0,0,2,0,0,0,0,0,0,1
Mandelieu-la-Napoule,0,0,0,0,1,0,0,0,0,0,0,0
12e Arrondissement,1,1,4,1,23,3,0,5,3,3,2,30
13e Arrondissement,8,1,7,0,33,10,0,18,1,2,4,25
2e Arrondissement,1,0,0,0,6,0,0,0,0,0,0,8
Lyon 6e Arrondissement,3,1,1,0,8,0,0,2,0,0,0,0
Lyon 5e Arrondissement,4,0,3,0,2,0,1,3,0,0,0,2
6e Arrondissement,1,0,0,0,5,1,0,0,0,0,0,9
18e Arrondissement,3,0,3,1,33,3,1,7,1,1,2,27
19e Arrondissement,7,2,7,0,26,6,0,3,2,1,4,31
Lyon 2e Arrondissement,1,2,3,0,5,0,0,1,0,0,7,12
Vélizy-Villacoublay,0,0,0,0,2,1,0,0,0,0,0,2
Montpellier,7,5,10,1,22,5,0,12,5,1,5,47
Tourlaville,0,0,0,0,1,2,0,0,0,0,0,2
15e Arrondissement,4,2,3,0,31,2,0,10,2,2,1,30
Lyon 1er Arrondissement,1,0,2,0,2,0,0,0,0,0,1,8
Cherbourg-Octeville,5,2,2,1,4,0,0,2,1,1,0,4
16e Arrondissement,2,0,0,0,1,1,0,5,0,1,0,12
14e Arrondissement,6,0,3,0,19,3,0,9,2,3,0,22
20e Arrondissement,7,2,8,1,24,1,0,4,2,1,2,32
Saint-Estève,0,0,0,0,0,0,0,0,0,0,0,0
Saint-Cyr-l'École,0,0,0,0,1,0,0,0,0,0,0,0
Lyon 8e Arrondissement,1,1,4,0,11,3,0,7,1,1,0,8
Lyon 4e Arrondissement,1,2,2,0,2,0,0,0,1,1,0,9
Perpignan,3,3,6,1,11,1,0,11,3,3,2,14
