,name,city,address,postcode,lat,lng,bubble_rating,star_rating,review_count,air_conditioning,free_internet,free_high_speed_internet_(_wifi_),public_wifi,wheelchair_access,restaurant,family_rooms,accessible_rooms,pets_allowed_(_dog_/_pet_friendly_),paid_wifi,refrigerator_in_room,kitchenette,microwave,paid_internet,chaine,rating_std
167,les tournelles,Paris,30 rue de Turenne,75004,48.85698,2.364526,5.0,3,83.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1.0111662110420319
284,handsome hotel by elegancia,Paris,83 rue Rambuteau,75001,48.862183,2.3488830000000003,4.5,3,99.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.085480836190904
360,hotel korner eiffel,Paris,96 avenue Emile Zola,75015,48.84659,2.28848,4.5,2,109.0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1.195125365099076
406,"hotel le saint, paris",Paris,3 rue du Pre aux Clercs,75007,48.856483,2.330172,4.5,2,78.0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0.8552273254837426
428,emeraude hotel d'espagne,Paris,9 Cite Bergere,75009,48.872128,2.344727,4.0,3,95.0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0.9258871330023424
477,hotel sophie germain,Paris,12 rue Sophie Germain,75014,48.830986,2.330694,4.5,3,95.0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1.0416230246276352
516,hotel comete paris,Paris,14 B rue des Maraichers,75020,48.84866,2.408032,5.0,3,72.0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0.877156231265377
557,hotel le mireille,Paris,24 rue Davy,75017,48.891335,2.324594,4.5,3,68.0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0.7455827965755705
568,hotel jacques de molay,Paris,94 rue des Archives,75003,48.863422,2.360923,4.5,3,63.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.6907605321214844
581,hotel eiffel turenne,Paris,20 avenue de Tourville,75007,48.854103,2.307437,4.5,2,63.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.6907605321214844
600,hotel de l'union,Paris,65 rue des Pyrenees,75020,48.85249,2.406018,4.0,0,114.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1110645596028108
672,taylor hotel,Paris,6 rue Taylor,75010,48.869396,2.359185,4.0,3,117.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.14030310064499
708,district republique,Paris,4 rue Lucien Sampaix,75010,48.870827,2.359881,4.5,2,72.0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0.7894406081388393
728,madeleine haussmann hotel,Paris,10 rue Pasquier,75008,48.871887,2.323291,4.0,3,115.0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1.1208107399502039
745,hotel mercure paris pigalle sacre-coeur,Paris,21 boulevard de Clichy,75009,48.882393,2.336566,4.0,3,95.0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0.9258871330023424
782,le roch hotel & spa,Paris,28 rue Saint Roch,75001,48.866154,2.333032,4.5,0,35.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38375585117860245
802,hotel des deux continents,Paris,25 rue Jacob,75006,48.85527800000001,2.334439,4.0,3,92.0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0.8966485919601631
813,hotel albert 1er,Paris,162 rue la Fayette,75010,48.879444,2.3578490000000003,4.0,3,72.0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0.7017249850123016
832,hotel duette,Paris,64 rue de Levis,75017,48.884087,2.313275,5.0,3,58.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.7065980751859982
841,queen's hotel,Paris,4 rue Bastien Lepage,75016,48.848576,2.266221,4.5,3,84.0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0.9210140428286459
850,hotel residence quintinie,Paris,5 rue la Quintinie,75015,48.839172,2.306526,4.0,2,112.0,1,1,1,0,1,0,0,1,1,0,1,1,1,0,0,1.0915721989080247
851,hotel montholon,Paris,15 rue de Montholon,75009,48.87653,2.347082,4.5,3,44.0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0.48243592719595735
875,green hotels paris 13,Paris,90 rue de Patay,75013,48.82739,2.372056,4.5,3,33.0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0.361826945396968
887,hotel saint-louis pigalle,Paris,6 rue Fromentin,75009,48.88237,2.33465,4.5,0,38.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.4166492098510541
919,hotel le clos notre dame,Paris,22 rue de l Hirondelle,75006,48.85361,2.342902,4.0,3,117.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.14030310064499
932,mayflower hotel,Paris,3 rue Chateaubriand,75008,48.873093,2.302473,4.0,3,116.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.130556920297597
935,hotel du quai de seine,Paris,3 Passage de Flandre,75019,48.88725,2.37324,4.0,2,73.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0.7114711653596947
937,hotel vendome saint germain,Paris,"8, Rue d'Arras",75005,48.847374,2.351535,4.5,2,28.0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0.30700468094288197
940,richmond opera hotel,Paris,11 Rue Du Helder,75009,48.87201,2.334892,4.0,3,94.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.9161409526549493
