,name,city,address,postcode,lat,lng,bubble_rating,star_rating,review_count,air_conditioning,free_internet,free_high_speed_internet_(_wifi_),public_wifi,wheelchair_access,restaurant,family_rooms,accessible_rooms,pets_allowed_(_dog_/_pet_friendly_),paid_wifi,refrigerator_in_room,kitchenette,microwave,paid_internet,chaine,rating_std
948,hotel trema,Paris,189 rue de Crimee,75019,48.89095,2.37623,4.5,3,43.0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0.47147147430514014
954,hotel des arts,Paris,7 Cite Bergere,75009,48.871937,2.344604,4.0,0,103.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.003856575781487
965,appia la fayette hotel,Paris,13 rue des 2 Gares,75010,48.878456,2.357009,4.0,3,60.0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0.5847708208435847
968,tonic hotel saint germain,Paris,15 rue des 4 Vents,75006,48.851734,2.3374200000000003,4.0,3,80.0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0.7796944277914462
986,hotel grand amour,Paris,18 rue de la Fidelite,75010,48.874542,2.356206,4.0,0,78.0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0.76020206709666
987,hotel mirabeau eiffel,Paris,35 rue Sebastien Mercier,75015,48.84409,2.279746,4.0,3,119.0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1.1597954613397763
990,hotel etats-unis opera,Paris,16 rue d'Antin,75002,48.869045,2.333653,4.0,3,102.0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0.9941103954340939
996,hotel panache,Paris,1 rue Geoffroy Marie,75009,48.87324,2.34323,4.0,3,64.0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.623755542233157
1013,cercle national des armees saint-augustin,Paris,"8, place Saint Augustin",,48.87528,2.319962,4.0,0,104.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.01360275612888
1026,hotel verlaine,Paris,51 rue Bobillot,75013,48.82725,2.35202,4.0,2,87.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8479176902231977
1027,hotel splendor,Paris,38 rue Cardinet,75017,48.882347,2.305009,4.0,3,115.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1.1208107399502039
1032,citadines austerlitz paris,Paris,27 rue Esquirol,75013,48.83489,2.360291,4.0,3,113.0,0,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1.1013183792554178
1034,hotel des pavillons,Paris,16 rue des Acacias,75017,48.876255,2.290792,4.0,2,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5847708208435847
1040,hotel imperial,Paris,45 rue de la Victoire,75009,48.87515,2.336222,4.0,3,72.0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0.7017249850123016
1044,hotel arc de triomphe,Paris,10 rue de l Arc de Triomphe,75017,48.87676,2.293934,4.0,3,122.0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1.1890340023819554
1045,amastan paris,Paris,34 rue Jean Mermoz,75008,48.87164,2.3123400000000003,5.0,0,13.0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0.1583754306451375
1046,ibis styles paris gare de l'est tgv,Paris,87 boulevard de Strasbourg,75010,48.8759,2.357463,3.5,3,106.0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0.903958227220708
1061,hotel du chemin vert paris,Paris,97 rue du chemin Vert,75011,48.86102,2.380694,3.5,3,127.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0830442911040556
1063,hotel pierre nicole,Paris,39 rue Pierre Nicole,75005,48.839745,2.3389,4.0,2,86.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8381715098758047
1066,hotel chambellan morgane,Paris,6 rue Kepler,75116,48.86972,2.297565,4.0,3,115.0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1.1208107399502039
1082,d'win hotel,Paris,20 rue du Temple,75004,48.858643,2.353479,4.0,2,120.0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1.1695416416871693
1083,danemark hotel,Paris,Vavin,75006,48.843422,2.329892,4.0,3,113.0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1.1013183792554178
1091,residence champ de mars,Paris,Residence du Champs de Mars 2 B rue Alasseur,75015,48.851387,2.297475,4.0,3,86.0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0.8381715098758047
1095,patio brancion,Paris,35 boulevard Edgar Quinet,75014,48.84168,2.32265,4.0,2,111.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0818260185606317
1098,hotel des pyrenees,Paris,399 B rue des Pyrenees,75020,48.87380200000001,2.386151,4.0,0,53.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0.5165475584118331
1099,ibis styles paris nation porte de montreuil,Paris,36 rue de la Croix Saint Simon,75020,48.85516,2.409523,4.0,3,55.0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0.5360399191066193
1106,centre ville etoile,Paris,6 rue des Acacias,75017,48.876125,2.29005,4.0,3,85.0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0.8284253295284116
1108,hotel saint-louis saintonge,Paris,16 Rue de Saintonge,75003,48.861847,2.362623,3.0,3,161.0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1.1768512769477142
1117,mondial hotel,Paris,5 Cite Bergere,75009,48.8719,2.343972,3.5,3,92.0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0.7845675179651428
1120,aero hotel,Paris,3 Place de Passy,75016,48.857613,2.277971,4.0,3,103.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.003856575781487
1123,ibis styles paris buttes chaumont,Paris,4 rue petit,75019,48.8846,2.379446,3.5,3,110.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9380698584365837
1128,hotel des trois colleges,Paris,16 rue Cujas,75005,48.84795,2.342344,4.0,3,58.0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0.5652784601487985
1132,hotel garden saint martin,Paris,35 rue Yves Toudic,75010,48.871254,2.362447,4.0,2,37.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.36060867285354387
1134,hotel des buttes chaumont,Paris,"4, avenue Secretan",75019,48.88213,2.370775,3.5,2,96.0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0.8186791491810185
1135,hotel noir,Paris,18 rue Leon Jost,75017,48.88085,2.302422,4.0,3,98.0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0.9551256740445216
1138,le cardinal hotel,Paris,"Street 3th, Du Cardinal Mercier",75009,48.88103,2.329019,4.0,3,113.0,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1.1013183792554178
1146,hotel bel oranger gare de lyon,Paris,9 rue d Austerlitz,75012,48.84703,2.370576,4.0,3,74.0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0.7212173457070877
1158,hotel garance,Paris,18 avenue des Gobelins,75005,48.8375,2.35137,4.0,3,106.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0330951168236662
1160,absolute hotel,Paris,1 rue de la Fontaine au Roi,75011,48.868828,2.3681330000000003,3.5,2,62.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.5287302838460745
1169,hotel palma,Paris,77 avenue Gambetta,75020,48.86505,2.397637,3.5,3,89.0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0.758983794553236
1173,hotel saint cyr etoile,Paris,101 avenue des Ternes,75017,48.880505,2.285565,4.0,3,46.0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.44832429598008156
1175,hotel printania temple,Paris,16 boulevard du Temple,75011,48.864414,2.366044,4.0,0,49.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4775628370222608
1177,hotel du dragon,Paris,36 Rue du Dragon,75006,48.852737,2.330413,3.5,1,116.0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0.9892373052603973
1179,residence capitaine paoli,Paris,30 rue Vicq D Azir,75010,48.876087,2.37189,4.5,0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14253788758062375
1182,hotel helder opera,Paris,4 rue du Helder,75009,48.871475,2.334954,3.5,3,115.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.9807093974564284
1184,hotel median paris congres,Paris,6 boulevard de Douaumont,75017,48.89613,2.308008,3.5,3,130.0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1.1086280145159626
1188,hotel porte de versailles,Paris,11 boulevard Victor,75015,48.83516,2.282549,3.5,3,120.0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1.0233489364762731
1191,hotel pavillon de montmartre,Paris,5 rue Aristide Bruant,75018,48.885414,2.335097,3.5,3,52.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44345120580638503
1193,prince de conti,Paris,8 rue Guenegaud,75006,48.85562,2.338496,4.0,3,17.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.16568506590568233
1196,hotel paris voltaire,Paris,79 rue Sedaine,75011,48.85840200000001,2.377734,3.5,0,48.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.40933957459050924
1197,hotel le cantal,Paris,26 boulevard de Charonne,75020,48.849987,2.39909,4.0,2,53.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5165475584118331
1199,hotel bac-st-germain,Paris,66 rue du Bac,75007,48.85572,2.325225,3.5,3,136.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.1597954613397763
1201,villa des princes,Paris,19 rue Monsieur le Prince,75006,48.851124,2.33945,3.5,2,136.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1597954613397763
1202,hotel aurore montmartre,Paris,76 rue de Clichy,75009,48.8826,2.32796,3.5,3,117.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9977652130643663
1206,le singulier,Paris,"38, rue Saint Didier",,48.86662000000001,2.2854,4.5,3,66.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.723653890793936
1207,parc hotel paris,Paris,60 rue Beaunier,75014,48.824707,2.326906,3.5,2,124.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.057460567692149
1208,hotel la villa glamour,Paris,Paris Trocadero - 85 rue de la Pompe,75016,48.86462,2.278019,4.0,3,71.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.6919788046649085
1212,paix republique,Paris,2 B boulevard Saint Martin,75010,48.86815,2.361775,3.5,3,82.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.6992884399254533
1216,hotel oscar,Paris,33 rue Marbeuf,75008,48.86936,2.3048900000000003,4.5,0,58.0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0.6359382676673984
1217,hotel metropolitain,Paris,158 rue Oberkampf,75011,48.866722,2.382237,4.0,0,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7309635260544808
1223,hotel de la perdrix rouge,Paris,5 rue Lassus,75019,48.87537,2.389006,3.5,2,138.0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1.1768512769477142
1224,hotel daval,Paris,"21, rue Daval",75011,48.854706,2.371135,4.0,2,111.0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1.0818260185606317
1226,hotel louvre richelieu,Paris,51 rue de Richelieu,75001,48.866405,2.337145,4.0,3,37.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36060867285354387
1238,hotel de belfort,Paris,22 rue de Belfort,75011,48.856956,2.384895,3.5,2,103.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.8783745038088011
1239,hotel auguste,Paris,25 rue Alain Chartier,75015,48.837894,2.296189,4.0,3,26.0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0.25340068903222
1241,hotel cyrnos,Paris,154 rue Montmartre,75002,48.86975,2.342978,3.5,3,121.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0318768442802422
1242,hotel terminus vaugirard,Paris,403 rue de Vaugirard,75015,48.83313,2.289216,3.0,3,119.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.8698465960048322
1247,agate hotel,Paris,8 cours de Vincennes,75012,48.84764000000001,2.39985,3.5,3,82.0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0.6992884399254533
1248,hotel le meditel,Paris,28 boulevard Pasteur,75015,48.84233,2.312136,4.0,0,38.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.370354853200937
1255,sweet hotel paris,Paris,15 rue Gossec,75012,48.838657,2.400755,3.5,3,70.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.596953546277826
1257,ibis styles paris lafayette opera,Paris,3 rue de Trevise,75009,48.872784,2.344935,3.5,3,78.0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0.6651768087095775
1258,le myosotis,Paris,37 rue de l Aude,75014,48.826736,2.33248,4.0,2,68.0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0.6627402636227293
1259,berkeley hotel,Paris,2 rue d Odessa,75014,48.84295,2.324239,3.5,3,130.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.1086280145159626
1260,hotel saint-roch,Paris,25 rue Saint Roch,75001,48.86575,2.332383,3.5,2,101.0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0.8613186882008632
1263,hotel zora,Paris,4 rue Leopold Bellan,75002,48.866493,2.346746,4.5,0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09868007601735491
1264,hotel boileau,Paris,81 rue Boileau,75016,48.84062,2.262357,4.0,3,104.0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1.01360275612888
1265,hotel trianon gare de lyon,Paris,52 Boulevard Diderot,75012,48.846493,2.37935,3.5,3,75.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.6395930852976707
1266,rendez-vous des amis,Paris,23 rue Gabrielle,75018,48.8858,2.34053,4.5,0,22.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.24121796359797867
1267,hotel jean bart,Paris,9 rue Jean Bart,75006,48.847633,2.331139,3.5,0,55.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.4690349292182919
1273,hotel clarisse,Paris,159 boulevard Lefebvre,75015,48.828903,2.300593,3.5,2,77.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6566489009056086
1274,hippodrome hotel,Paris,7 rue Forest,75018,48.88523,2.329176,3.5,2,77.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6566489009056086
1276,hotel residence les halles,Paris,4 rue des Halles,75001,48.859222,2.347343,4.0,3,109.0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1.0623336578658455
1278,hotel bonne nouvelle,Paris,17 rue Beauregard,75002,48.869274,2.3494650000000004,4.0,3,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23390832833743386
1282,hotel saint-marcel,Paris,43 boulevard Saint Marcel,75013,48.838127,2.356766,4.5,3,71.0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.778476155248022
1286,residhotel imperial rennequin,Paris,34 rue Rennequin,75017,48.882114,2.297656,4.0,3,71.0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0.6919788046649085
1287,hotel londres saint-honore,Paris,13 rue Saint Roch,75001,48.865147,2.3320380000000003,3.5,2,113.0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0.9636535818484906
1289,hotel la perle montparnasse,Paris,3 rue Maison Dieu,75014,48.83588,2.32216,3.5,0,46.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3922837589825714
1290,hotel miramar,Paris,6 Place Bienvenue,75015,48.842308,2.320325,3.5,3,70.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.596953546277826
1292,hotel mederic,Paris,4 rue Mederic,75017,48.880142,2.302573,3.5,2,71.0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0.605481454081795
1294,nouvel hotel,Paris,24 avenue du Bel Air,75012,48.846977,2.397382,4.0,2,61.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.5945170011909777
1301,hotel elysees paris,Paris,1 rue Brey,75017,48.876114,2.296223,3.5,3,136.0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1.1597954613397763
1303,maison du pre,Paris,88 rue de Maubeuge,75010,48.87982,2.350291,3.5,2,134.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1427396457318384
1307,hotel l'amiral,Paris,90 rue de l Amiral Roussin,75015,48.84131,2.30098,3.5,2,64.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5457860994540124
1308,hotel leman opera,Paris,20 rue de Trevise,75009,48.87377,2.34536,3.5,3,50.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.42639539019844713
1309,lilas gambetta,Paris,223 avenue Gambetta,75020,48.87426,2.40525,3.5,2,41.0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0.34964421996272665
1314,elysees hotel,Paris,100 rue la Boetie,75008,48.872074,2.308762,3.5,3,48.0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0.40933957459050924
1315,hotel lilas blanc,Paris,5 rue de l Avre,75015,48.848278,2.298355,4.0,0,29.0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0.28263923007439923
1318,prince albert concordia,Paris,38 boulevard Diderot,75012,48.846096,2.377109,3.5,2,57.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.4860907448262297
1320,hotel le malown,Paris,12 rue Greffulhe,75008,48.873077,2.325509,3.5,2,134.0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1.1427396457318384
1323,hotel du romancier,Paris,08 6 B rue Chateaubriand,75008,48.873302,2.302536,4.0,0,19.0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0.1851774266004685
1324,super hotel,Paris,208 rue des Pyrenees,75020,48.865417,2.398282,3.5,3,94.0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0.8016233335730806
1331,hotel stella,Paris,41 rue Monsieur le Prince,75006,48.84977,2.34006,3.5,0,65.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5543140072579813
1332,residence le st. germain,Paris,16 rue Boutebrie,75005,48.8513,2.344495,3.5,3,54.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.4605070214143229
1336,hotel du parc montsouris,Paris,4 rue du Parc de Montsouris,75014,48.822395,2.334547,3.5,3,111.0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0.9465977662405527
1337,best western hotel ohm by happyculture,Paris,11 rue Claude Terrasse,75016,48.839283,2.263104,3.5,3,39.0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0.33258840435478876
1338,hotel arian,Paris,102 avenue de Choisy,75013,48.825188,2.36085,3.5,0,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23025351070716146
1339,palace hotel,Paris,9 rue Bouchardon,75010,48.870148,2.3572490000000004,3.5,0,103.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8783745038088011
1344,hotel printania grenelle eiffel,Paris,142 boulevard de Grenelle,75015,48.84856,2.2988150000000003,3.5,0,28.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.2387814185111304
1345,hotel regence,Paris,33 rue de Saint Petersbourg,75008,48.882156,2.325715,3.5,3,100.0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0.8527907803968943
1346,hotel la louisiane,Paris,60 rue de Seine,75006,48.85352,2.33697,3.5,0,121.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0318768442802422
1347,hotel le paris vingt,Paris,6 rue Dupont de l Eure,75020,48.86791,2.400427,3.5,2,48.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40933957459050924
1350,hotel studia,Paris,51 boulevard Saint Germain,75005,48.850094,2.347614,4.0,0,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7796944277914462
1351,villa la parisienne,Paris,39 rue Lamartine,75009,48.87656,2.340148,3.5,3,92.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.7845675179651428
1353,hotel campanile,Paris,32 rue Louis Blanc,75010,48.88107,2.36538,3.5,0,136.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.1597954613397763
1356,hotel alcyon,Paris,17 rue de Prague,75012,48.84991,2.3757,3.5,2,24.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.20466978729525462
1357,hotel des vosges,Paris,2 rue des Maronites,75020,48.86781,2.382953,3.5,0,61.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5202023760421055
1358,hotel selva paris,Paris,129 rue de Charonne,75011,48.85507,2.386411,3.5,2,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1620302482754099
1360,hotel de paris maubeuge,Paris,37 rue de Maubeuge,75009,48.87883400000001,2.346061,3.0,2,100.0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0.7309635260544808
1362,hotel lutece,Paris,5 rue de Langeac,75015,48.835777,2.292402,3.5,2,46.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3922837589825714
1363,b&b paris 130,Paris,Rue de Lancry,75010,,,5.0,0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.012182725434241346
1365,hotel fictif,Paris,6 rue Leopold Robert,75014,,,5.0,0,1.0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0.012182725434241346
1366,hotel lido,Paris,4 Passage de la Madeleine,75008,,,5.0,3,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012182725434241346
1367,le richemont montparnasse,Paris,126 rue du Cherche Midi,75006,,,5.0,3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012182725434241346
1368,lg tour eiffel,Paris,153 rue de l Universite,75007,,,5.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.012182725434241346
