,name,city,address,postcode,lat,lng,bubble_rating,star_rating,review_count,air_conditioning,free_internet,free_high_speed_internet_(_wifi_),public_wifi,wheelchair_access,restaurant,family_rooms,accessible_rooms,pets_allowed_(_dog_/_pet_friendly_),paid_wifi,refrigerator_in_room,kitchenette,microwave,paid_internet,chaine,rating_std,rating_std2
1517,baccarat hotel,Paris,19 rue des Messageries,75010,,,3.5,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025583723411906827,0.46781002546150335
1520,kyriad brancion,Paris,1 rue de Chambery,75015,48.831837,2.30447,2.5,0,68.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.4142126647642058,0.646546822260365
1521,mercure magenta,Paris,"1, Cour Ferme St Lazare, 75010 Paris France",75010,48.876034,2.3555770000000003,3.5,0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.15350234047144098,0.5389633105541836
1522,hotel d'angleterre champs elysees,Paris,91 rue la Boetie,75008,48.871693,2.308073,3.0,3,86.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.6286286324068535,0.7967278170062908
1524,hotel agenor,Paris,22 rue Cels,75014,48.83684,2.324039,3.5,3,99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8442628725929253,0.9231910500546565
1525,le carrosse,Paris,88 rue Desnouettes,75015,48.834873,2.284476,3.0,1,32.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.23390832833743386,0.5405759906726421
1526,pratic hotel,Paris,31 rue Germain Pilon,75018,48.88464000000001,2.33701,2.5,0,4.0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0.024365450868482692,0.34295947253159614
1527,hotel bordeaux,Paris,100 rue du Faubourg Saint Denis,75010,48.87469,2.355754,3.0,2,92.0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0.6724864439701224,0.8251891310433628
1528,residence international paris,Paris,44 rue Louis Lumiere,75020,48.860207,2.411864,3.0,2,92.0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.6724864439701224,0.8251891310433628
1529,nouveau paris park hotel,Paris,4 rue Hassard,75019,48.878304,2.384172,3.0,3,19.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.13888306995035135,0.47890981025898594
1530,hotel bearnais,Paris,42 rue d Orsel,75018,48.88364,2.34268,3.0,0,66.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.48243592719595735,0.7018567702160505
1531,hotel sunny,Paris,48 boulevard de Port Royal,75005,48.837566,2.346755,3.5,2,96.0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0.8186791491810185,0.9089603930361205
1533,royal opera mansart,Paris,1 rue Mansart,75009,48.882133,2.333515,2.5,2,150.0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0.913704407568101,1.03551811410035
1534,bar hotel central marais,Paris,33 rue Vieille du Temple,75004,48.85768,2.357611,3.5,0,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2387814185111304,0.5863988339493037
1536,les argonautes,Paris,12 rue de la Huchette,75005,48.852997,2.346109,3.5,0,70.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.596953546277826,0.7856280322088082
