,name,city,address,postcode,lat,lng,bubble_rating,star_rating,review_count,air_conditioning,free_internet,free_high_speed_internet_(_wifi_),public_wifi,wheelchair_access,restaurant,family_rooms,accessible_rooms,pets_allowed_(_dog_/_pet_friendly_),paid_wifi,refrigerator_in_room,kitchenette,microwave,paid_internet,chaine,rating_std,rating_std2
1309,lilas gambetta,Paris,223 avenue Gambetta,75020,48.87426,2.40525,3.5,2,41.0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0.34964421996272665,0.6480650143629598
1314,elysees hotel,Paris,100 rue la Boetie,75008,48.872074,2.308762,3.5,3,48.0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0.40933957459050924,0.6812698807395439
1318,prince albert concordia,Paris,38 boulevard Diderot,75012,48.846096,2.377109,3.5,2,57.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.4860907448262297,0.723961851795152
1320,hotel le malown,Paris,12 rue Greffulhe,75008,48.873077,2.325509,3.5,2,134.0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1.1427396457318384,1.089215381937577
1324,super hotel,Paris,208 rue des Pyrenees,75020,48.865417,2.398282,3.5,3,94.0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0.8016233335730806,0.8994732883570965
1331,hotel stella,Paris,41 rue Monsieur le Prince,75006,48.84977,2.34006,3.5,0,65.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5543140072579813,0.7619102705112482
1332,residence le st. germain,Paris,16 rue Boutebrie,75005,48.8513,2.344495,3.5,3,54.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.4605070214143229,0.7097311947766161
1336,hotel du parc montsouris,Paris,4 rue du Parc de Montsouris,75014,48.822395,2.334547,3.5,3,111.0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0.9465977662405527,0.9801136781288007
1337,best western hotel ohm by happyculture,Paris,11 rue Claude Terrasse,75016,48.839283,2.263104,3.5,3,39.0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0.33258840435478876,0.6385779096839358
1338,hotel arian,Paris,102 avenue de Choisy,75013,48.825188,2.36085,3.5,0,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23025351070716146,0.5816552816097916
1339,palace hotel,Paris,9 rue Bouchardon,75010,48.870148,2.3572490000000004,3.5,0,103.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8783745038088011,0.9421652594127046
1344,hotel printania grenelle eiffel,Paris,142 boulevard de Grenelle,75015,48.84856,2.2988150000000003,3.5,0,28.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.2387814185111304,0.5863988339493037
1345,hotel regence,Paris,33 rue de Saint Petersbourg,75008,48.882156,2.325715,3.5,3,100.0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0.8527907803968943,0.9279346023941686
1346,hotel la louisiane,Paris,60 rue de Seine,75006,48.85352,2.33697,3.5,0,121.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0318768442802422,1.0275492015239207
1347,hotel le paris vingt,Paris,6 rue Dupont de l Eure,75020,48.86791,2.400427,3.5,2,48.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40933957459050924,0.6812698807395439
1351,villa la parisienne,Paris,39 rue Lamartine,75009,48.87656,2.340148,3.5,3,92.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.7845675179651428,0.8899861836780725
1353,hotel campanile,Paris,32 rue Louis Blanc,75010,48.88107,2.36538,3.5,0,136.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.1597954613397763,1.098702486616601
1356,hotel alcyon,Paris,17 rue de Prague,75012,48.84991,2.3757,3.5,2,24.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.20466978729525462,0.5674246245912556
1357,hotel des vosges,Paris,2 rue des Maronites,75020,48.86781,2.382953,3.5,0,61.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5202023760421055,0.7429360611532001
1358,hotel selva paris,Paris,129 rue de Charonne,75011,48.85507,2.386411,3.5,2,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1620302482754099,0.5437068628936955
1360,hotel de paris maubeuge,Paris,37 rue de Maubeuge,75009,48.87883400000001,2.346061,3.0,2,100.0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0.7309635260544808,0.8631375497594589
1362,hotel lutece,Paris,5 rue de Langeac,75015,48.835777,2.292402,3.5,2,46.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3922837589825714,0.67178277606052
1374,amhotel italie,Paris,96 avenue de Choisy,75013,48.82502,2.36101,3.5,2,42.0,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0.3581721277666956,0.6528085667024719
1375,hotel windsor home,Paris,3 rue Vital,75116,48.86047,2.280103,3.5,3,30.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.2558372341190683,0.5958859386283277
1380,hotel du mont dore,Paris,19 rue du Mont Dore,75017,48.883736,2.322724,3.0,3,109.0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0.796750243399384,0.9058295208150671
1382,le clos d'alesia,Paris,8 rue Friant,75014,48.82613,2.324426,3.0,3,57.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0.4166492098510541,0.6591647991604423
1385,hotel du midi gare de lyon,Paris,33 rue Traversiere,75012,48.847385,2.372455,3.0,2,71.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5189841034986814,0.7255745319136105
1387,des deux acacias,Paris,28 rue de l Arc de Triomphe,75017,,,2.5,0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048730901736965385,0.3619336818896442
1388,albert premier,Paris,"4, Avenue Phoceens, 06000 Nice",6300,48.879494,2.357812,3.5,0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12791861705953414,0.5247326535356475
1391,jeff hotel- paris,Paris,53 rue Richer,75009,48.874,2.342733,3.5,2,117.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9977652130643663,1.0085749921658729
1397,hotel petit palace,Paris,131 avenue du Maine,75014,48.834866,2.324292,3.5,0,40.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.3411163121587577,0.6433214620234478
1398,hotel avenir jonquiere,Paris,23 rue de la Jonquiere,75017,48.89342,2.3250490000000004,3.5,0,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2387814185111304,0.5863988339493037
1402,neptune italie,Paris,15 rue Godefroy,75013,48.831814,2.3574,3.5,2,69.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5884256384738571,0.7808844798692962
1404,hotel du centre,Paris,112 rue de Charenton,75012,,,3.5,0,3.0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0.025583723411906827,0.46781002546150335
1406,grand hotel republique,Paris,62 rue Oberkampf,75011,48.864777,2.374219,2.5,0,7.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.04263953901984471,0.3571901295501322
1407,paris b&b no.2,Paris,rue de la Pompe Station,,,,3.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.014619270521089616,0.3982694204872817
1408,121 hotel paris,Paris,121 avenue de Clichy,75017,48.88996,2.321078,3.0,3,110.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.8040598786599289,0.9105730731545791
1410,hotel des sans culottes,Paris,27 rue de Lappe,75011,48.853653,2.373025,3.5,0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10233489364762731,0.5105019965171115
