DEPCOM,NOM_COM,IRIS,DCOMIRIS,NOM_IRIS,TYP_IRIS
59068,Berlaimont,0000,590680000,Berlaimont,Z
59594,Thun-Saint-Amand,0000,595940000,Thun-Saint-Amand,Z
59506,Romeries,0000,595060000,Romeries,Z
59535,Saint-Jans-Cappel,0000,595350000,Saint-Jans-Cappel,Z
59468,Potelle,0000,594680000,Potelle,Z
59545,Saint-Souplet,0000,595450000,Saint-Souplet,Z
59404,Les Moëres,0000,594040000,Les Moëres,Z
59147,Choisies,0000,591470000,Choisies,Z
59050,Bas-Lieu,0000,590500000,Bas-Lieu,Z
59347,Liessies,0000,593470000,Liessies,Z
59080,Beuvry-la-Forêt,0000,590800000,Beuvry-la-Forêt,Z
59533,Saint-Hilaire-lez-Cambrai,0000,595330000,Saint-Hilaire-lez-Cambrai,Z
59669,Zuytpeene,0000,596690000,Zuytpeene,Z
59144,Château-l'Abbaye,0000,591440000,Château-l'Abbaye,Z
59477,Provin,0000,594770000,Provin,Z
59233,Flaumont-Waudrechies,0000,592330000,Flaumont-Waudrechies,Z
59564,La Sentinelle,0000,595640000,La Sentinelle,Z
59263,Goeulzin,0000,592630000,Goeulzin,Z
59056,Beaucamps-Ligny,0000,590560000,Beaucamps-Ligny,Z
59461,Petit-Fayt,0000,594610000,Petit-Fayt,Z
59438,Noyelles-sur-Escaut,0000,594380000,Noyelles-sur-Escaut,Z
59601,Trélon,0000,596010000,Trélon,Z
59001,Abancourt,0000,590010000,Abancourt,Z
59285,Haspres,0000,592850000,Haspres,Z
59267,Gonnelieu,0000,592670000,Gonnelieu,Z
59318,Houtkerque,0000,593180000,Houtkerque,Z
59031,Audignies,0000,590310000,Audignies,Z
59004,Aix,0000,590040000,Aix,Z
59297,Hélesmes,0000,592970000,Hélesmes,Z
59293,Haverskerque,0000,592930000,Haverskerque,Z
59076,Bettignies,0000,590760000,Bettignies,Z
59168,Cysoing,0000,591680000,Cysoing,Z
59303,Herlies,0000,593030000,Herlies,Z
59565,Sepmeries,0000,595650000,Sepmeries,Z
59156,Courchelettes,0000,591560000,Courchelettes,Z
59608,Vendegies-sur-Écaillon,0000,596080000,Vendegies-sur-Écaillon,Z
59154,Coudekerque-Village,0000,591540000,Coudekerque-Village,Z
59003,Aibes,0000,590030000,Aibes,Z
59580,Steenvoorde,0000,595800000,Steenvoorde,Z
59531,Saint-Benin,0000,595310000,Saint-Benin,Z
59399,Merris,0000,593990000,Merris,Z
59635,Wambaix,0000,596350000,Wambaix,Z
59266,Gondecourt,0000,592660000,Gondecourt,Z
59180,Le Doulieu,0000,591800000,Le Doulieu,Z
59259,Ghissignies,0000,592590000,Ghissignies,Z
59256,Fretin,0000,592560000,Fretin,Z
59615,Vieux-Berquin,0000,596150000,Vieux-Berquin,Z
59390,Masny,0000,593900000,Masny,Z
59188,Écuélin,0000,591880000,Écuélin,Z
59247,Forest-sur-Marque,0000,592470000,Forest-sur-Marque,Z
59214,Estrées,0000,592140000,Estrées,Z
59148,Clairfayts,0000,591480000,Clairfayts,Z
59393,Maulde,0000,593930000,Maulde,Z
59174,Dimechaux,0000,591740000,Dimechaux,Z
59142,Cerfontaine,0000,591420000,Cerfontaine,Z
59007,Anhiers,0000,590070000,Anhiers,Z
59066,Bérelles,0000,590660000,Bérelles,Z
59633,Wallers-en-Fagne,0000,596330000,Wallers-en-Fagne,Z
59429,Neuville-sur-Escaut,0000,594290000,Neuville-sur-Escaut,Z
59319,Hoymille,0000,593190000,Hoymille,Z
59567,Séranvillers-Forenville,0000,595670000,Séranvillers-Forenville,Z
59502,Rieux-en-Cambrésis,0000,595020000,Rieux-en-Cambrésis,Z
59566,Sequedin,0000,595660000,Sequedin,Z
59462,Phalempin,0000,594620000,Phalempin,Z
59138,Cattenières,0000,591380000,Cattenières,Z
59088,Bois-Grenier,0000,590880000,Bois-Grenier,Z
59637,Wandignies-Hamage,0000,596370000,Wandignies-Hamage,Z
59490,Rainsars,0000,594900000,Rainsars,Z
59334,Lauwin-Planque,0000,593340000,Lauwin-Planque,Z
59074,Bertry,0000,590740000,Bertry,Z
59065,Bellignies,0000,590650000,Bellignies,Z
59315,Houdain-lez-Bavay,0000,593150000,Houdain-lez-Bavay,Z
59069,Bermerain,0000,590690000,Bermerain,Z
59486,Râches,0000,594860000,Râches,Z
59628,Volckerinckhove,0000,596280000,Volckerinckhove,Z
59500,Ribécourt-la-Tour,0000,595000000,Ribécourt-la-Tour,Z
59075,Béthencourt,0000,590750000,Béthencourt,Z
59077,Bettrechies,0000,590770000,Bettrechies,Z
59277,Gussignies,0000,592770000,Gussignies,Z
59310,Hon-Hergies,0000,593100000,Hon-Hergies,Z
59072,Bersillies,0000,590720000,Bersillies,Z
59568,Sercus,0000,595680000,Sercus,Z
59336,Lécluse,0000,593360000,Lécluse,Z
59483,Quiévelon,0000,594830000,Quiévelon,Z
59618,Vieux-Reng,0000,596180000,Vieux-Reng,Z
59542,Saint-Remy-Chaussée,0000,595420000,Saint-Remy-Chaussée,Z
59039,Awoingt,0000,590390000,Awoingt,Z
59222,Faumont,0000,592220000,Faumont,Z
59487,Radinghem-en-Weppes,0000,594870000,Radinghem-en-Weppes,Z
59102,Boussières-en-Cambrésis,0000,591020000,Boussières-en-Cambrésis,Z
59623,Villers-Guislain,0000,596230000,Villers-Guislain,Z
59133,Carnin,0000,591330000,Carnin,Z
59467,Pont-sur-Sambre,0000,594670000,Pont-sur-Sambre,Z
59382,Maretz,0000,593820000,Maretz,Z
59063,Beauvois-en-Cambrésis,0000,590630000,Beauvois-en-Cambrésis,Z
59497,Renescure,0000,594970000,Renescure,Z
59207,Escautpont,0000,592070000,Escautpont,Z
59182,Drincham,0000,591820000,Drincham,Z
59517,Les Rues-des-Vignes,0000,595170000,Les Rues-des-Vignes,Z
59387,Marquette-en-Ostrevant,0000,593870000,Marquette-en-Ostrevant,Z
59454,Oxelaëre,0000,594540000,Oxelaëre,Z
59419,Mouchin,0000,594190000,Mouchin,Z
59554,Sars-et-Rosières,0000,595540000,Sars-et-Rosières,Z
59364,Louvil,0000,593640000,Louvil,Z
59257,Fromelles,0000,592570000,Fromelles,Z
59129,Cappelle-en-Pévèle,0000,591290000,Cappelle-en-Pévèle,Z
59389,Masnières,0000,593890000,Masnières,Z
59302,Hérin,0000,593020000,Hérin,Z
59473,Preux-au-Sart,0000,594730000,Preux-au-Sart,Z
59363,Louvignies-Quesnoy,0000,593630000,Louvignies-Quesnoy,Z
59405,Moeuvres,0000,594050000,Moeuvres,Z
59645,Wasnes-au-Bac,0000,596450000,Wasnes-au-Bac,Z
59503,Robersart,0000,595030000,Robersart,Z
59332,Lannoy,0000,593320000,Lannoy,Z
59115,Brunémont,0000,591150000,Brunémont,Z
59537,Saint-Martin-sur-Écaillon,0000,595370000,Saint-Martin-sur-Écaillon,Z
59132,Carnières,0000,591320000,Carnières,Z
59289,Haussy,0000,592890000,Haussy,Z
59668,Zuydcoote,0000,596680000,Zuydcoote,Z
59625,Villers-Plouich,0000,596250000,Villers-Plouich,Z
59083,Bissezeele,0000,590830000,Bissezeele,Z
59159,Craywick,0000,591590000,Craywick,Z
59096,Bourghelles,0000,590960000,Bourghelles,Z
59372,Malincourt,0000,593720000,Malincourt,Z
59161,Crèvecoeur-sur-l'Escaut,0000,591610000,Crèvecoeur-sur-l'Escaut,Z
59243,Fontaine-au-Pire,0000,592430000,Fontaine-au-Pire,Z
59441,Obies,0000,594410000,Obies,Z
59640,Wargnies-le-Petit,0000,596400000,Wargnies-le-Petit,Z
59282,Hardifort,0000,592820000,Hardifort,Z
59573,Solrinnes,0000,595730000,Solrinnes,Z
59294,Haynecourt,0000,592940000,Haynecourt,Z
59613,Vicq,0000,596130000,Vicq,Z
59534,Saint-Hilaire-sur-Helpe,0000,595340000,Saint-Hilaire-sur-Helpe,Z
59638,Wannehain,0000,596380000,Wannehain,Z
59472,Preux-au-Bois,0000,594720000,Preux-au-Bois,Z
59107,Bray-Dunes,0000,591070000,Bray-Dunes,Z
59379,Marcq-en-Ostrevent,0000,593790000,Marcq-en-Ostrevent,Z
59397,Merckeghem,0000,593970000,Merckeghem,Z
59595,Thun-Saint-Martin,0000,595950000,Thun-Saint-Martin,Z
59047,Banteux,0000,590470000,Banteux,Z
59585,Templemars,0000,595850000,Templemars,Z
59323,Jenlain,0000,593230000,Jenlain,Z
59261,Glageon,0000,592610000,Glageon,Z
59240,Floursies,0000,592400000,Floursies,Z
59385,Marpent,0000,593850000,Marpent,Z
59388,Marquillies,0000,593880000,Marquillies,Z
59341,Lesdain,0000,593410000,Lesdain,Z
59010,Anneux,0000,590100000,Anneux,Z
59515,Rouvignies,0000,595150000,Rouvignies,Z
59013,Anstaing,0000,590130000,Anstaing,Z
59630,Wahagnies,0000,596300000,Wahagnies,Z
59600,Tourmignies,0000,596000000,Tourmignies,Z
59301,Hergnies,0000,593010000,Hergnies,Z
59605,Uxem,0000,596050000,Uxem,Z
59325,Jolimetz,0000,593250000,Jolimetz,Z
59408,Moncheaux,0000,594080000,Moncheaux,Z
59314,Hornaing,0000,593140000,Hornaing,Z
59311,Honnechy,0000,593110000,Honnechy,Z
59217,Eth,0000,592170000,Eth,Z
59176,Doignies,0000,591760000,Doignies,Z
59521,Sailly-lez-Cambrai,0000,595210000,Sailly-lez-Cambrai,Z
59453,Oudezeele,0000,594530000,Oudezeele,Z
59098,Bousbecque,0000,590980000,Bousbecque,Z
59181,Dourlers,0000,591810000,Dourlers,Z
59021,Assevent,0000,590210000,Assevent,Z
59631,Walincourt-Selvigny,0000,596310000,Walincourt-Selvigny,Z
59053,Bavay,0000,590530000,Bavay,Z
59492,Ramillies,0000,594920000,Ramillies,Z
59551,Saméon,0000,595510000,Saméon,Z
59137,Catillon-sur-Sambre,0000,591370000,Catillon-sur-Sambre,Z
59244,Fontaine-Notre-Dame,0000,592440000,Fontaine-Notre-Dame,Z
59563,Semousies,0000,595630000,Semousies,Z
59307,Holque,0000,593070000,Holque,Z
59049,Bantouzelle,0000,590490000,Bantouzelle,Z
59210,Esquelbecq,0000,592100000,Esquelbecq,Z
59099,Bousies,0000,590990000,Bousies,Z
59374,Marbaix,0000,593740000,Marbaix,Z
59602,Tressin,0000,596020000,Tressin,Z
59481,Le Quesnoy,0000,594810000,Le Quesnoy,Z
59232,La Flamengrie,0000,592320000,La Flamengrie,Z
59391,Mastaing,0000,593910000,Mastaing,Z
59162,Crochte,0000,591620000,Crochte,Z
59252,Frelinghien,0000,592520000,Frelinghien,Z
59093,Boulogne-sur-Helpe,0000,590930000,Boulogne-sur-Helpe,Z
59579,Steene,0000,595790000,Steene,Z
59641,Warhem,0000,596410000,Warhem,Z
59150,Cobrieux,0000,591500000,Cobrieux,Z
59145,Chemy,0000,591450000,Chemy,Z
59504,Roeulx,0000,595040000,Roeulx,Z
59444,Odomez,0000,594440000,Odomez,Z
59425,Neuville-en-Avesnois,0000,594250000,Neuville-en-Avesnois,Z
59194,Englefontaine,0000,591940000,Englefontaine,Z
59649,Wattignies-la-Victoire,0000,596490000,Wattignies-la-Victoire,Z
59357,La Longueville,0000,593570000,La Longueville,Z
59576,Spycker,0000,595760000,Spycker,Z
59333,Larouillies,0000,593330000,Larouillies,Z
59171,Dehéries,0000,591710000,Dehéries,Z
59203,Erre,0000,592030000,Erre,Z
59316,Houplin-Ancoisne,0000,593160000,Houplin-Ancoisne,Z
59054,Bavinchove,0000,590540000,Bavinchove,Z
59190,Élesmes,0000,591900000,Élesmes,Z
59062,Beaurieux,0000,590620000,Beaurieux,Z
59435,Nomain,0000,594350000,Nomain,Z
59134,Cartignies,0000,591340000,Cartignies,Z
59084,Blaringhem,0000,590840000,Blaringhem,Z
59312,Honnecourt-sur-Escaut,0000,593120000,Honnecourt-sur-Escaut,Z
59498,Reumont,0000,594980000,Reumont,Z
59085,Blécourt,0000,590850000,Blécourt,Z
59218,Étroeungt,0000,592180000,Étroeungt,Z
59344,Leval,0000,593440000,Leval,Z
59416,Morbecque,0000,594160000,Morbecque,Z
59151,Colleret,0000,591510000,Colleret,Z
59331,Landrecies,0000,593310000,Landrecies,Z
59493,Ramousies,0000,594930000,Ramousies,Z
59463,Pitgam,0000,594630000,Pitgam,Z
59656,Wervicq-Sud,0000,596560000,Wervicq-Sud,Z
59034,Avelin,0000,590340000,Avelin,Z
59455,Paillencourt,0000,594550000,Paillencourt,Z
59141,Cauroir,0000,591410000,Cauroir,Z
59442,Obrechies,0000,594420000,Obrechies,Z
59025,Aubers,0000,590250000,Aubers,Z
59520,Rumilly-en-Cambrésis,0000,595200000,Rumilly-en-Cambrésis,Z
59559,Sebourg,0000,595590000,Sebourg,Z
59255,Fressies,0000,592550000,Fressies,Z
59543,Saint-Remy-du-Nord,0000,595430000,Saint-Remy-du-Nord,Z
59045,Baives,0000,590450000,Baives,Z
59523,Sainghin-en-Mélantois,0000,595230000,Sainghin-en-Mélantois,Z
59177,Dompierre-sur-Helpe,0000,591770000,Dompierre-sur-Helpe,Z
59169,Damousies,0000,591690000,Damousies,Z
59443,Ochtezeele,0000,594430000,Ochtezeele,Z
59046,Bambecque,0000,590460000,Bambecque,Z
59015,Arleux,0000,590150000,Arleux,Z
59660,Willems,0000,596600000,Willems,Z
59353,Locquignol,0000,593530000,Locquignol,Z
59480,Quérénaing,0000,594800000,Quérénaing,Z
59265,Gommegnies,0000,592650000,Gommegnies,Z
59396,Mecquignies,0000,593960000,Mecquignies,Z
59120,Caëstre,0000,591200000,Caëstre,Z
59104,Boussois,0000,591040000,Boussois,Z
59488,Raillencourt-Sainte-Olle,0000,594880000,Raillencourt-Sainte-Olle,Z
59598,Toufflers,0000,595980000,Toufflers,Z
59584,Taisnières-sur-Hon,0000,595840000,Taisnières-sur-Hon,Z
59529,Saint-Aubin,0000,595290000,Saint-Aubin,Z
59428,Neuville-Saint-Rémy,0000,594280000,Neuville-Saint-Rémy,Z
59128,Capinghem,0000,591280000,Capinghem,Z
59204,Escarmain,0000,592040000,Escarmain,Z
59664,Wulverdinghe,0000,596640000,Wulverdinghe,Z
59023,Aubencheul-au-Bac,0000,590230000,Aubencheul-au-Bac,Z
59111,Broxeele,0000,591110000,Broxeele,Z
59055,Bazuel,0000,590550000,Bazuel,Z
59348,Lieu-Saint-Amand,0000,593480000,Lieu-Saint-Amand,Z
59407,Monchaux-sur-Écaillon,0000,594070000,Monchaux-sur-Écaillon,Z
59117,Bugnicourt,0000,591170000,Bugnicourt,Z
59437,Noyelles-lès-Seclin,0000,594370000,Noyelles-lès-Seclin,Z
59418,Mortagne-du-Nord,0000,594180000,Mortagne-du-Nord,Z
59042,Bachy,0000,590420000,Bachy,Z
59158,Coutiches,0000,591580000,Coutiches,Z
59067,Bergues,0000,590670000,Bergues,Z
59406,Monceau-Saint-Waast,0000,594060000,Monceau-Saint-Waast,Z
59590,Thiennes,0000,595900000,Thiennes,Z
59670,Don,0000,596700000,Don,Z
59135,Cassel,0000,591350000,Cassel,Z
59514,Rousies,0000,595140000,Rousies,Z
59499,Rexpoëde,0000,594990000,Rexpoëde,Z
59246,Forest-en-Cambrésis,0000,592460000,Forest-en-Cambrésis,Z
59458,Péronne-en-Mélantois,0000,594580000,Péronne-en-Mélantois,Z
59130,Cappelle-Brouck,0000,591300000,Cappelle-Brouck,Z
59612,Vertain,0000,596120000,Vertain,Z
59024,Auberchicourt,0000,590240000,Auberchicourt,Z
59370,Mairieux,0000,593700000,Mairieux,Z
59058,Beaufort,0000,590580000,Beaufort,Z
59121,Cagnoncles,0000,591210000,Cagnoncles,Z
59570,Socx,0000,595700000,Socx,Z
59187,Éclaibes,0000,591870000,Éclaibes,Z
59283,Hargnies,0000,592830000,Hargnies,Z
59309,Hondschoote,0000,593090000,Hondschoote,Z
59470,Prémesques,0000,594700000,Prémesques,Z
59596,Tilloy-lez-Marchiennes,0000,595960000,Tilloy-lez-Marchiennes,Z
59522,Sailly-lez-Lannoy,0000,595220000,Sailly-lez-Lannoy,Z
59103,Boussières-sur-Sambre,0000,591030000,Boussières-sur-Sambre,Z
59229,Féron,0000,592290000,Féron,Z
59224,Féchain,0000,592240000,Féchain,Z
59659,Wignehies,0000,596590000,Wignehies,Z
59489,Raimbeaucourt,0000,594890000,Raimbeaucourt,Z
59175,Dimont,0000,591750000,Dimont,Z
59116,Bry,0000,591160000,Bry,Z
59127,Capelle,0000,591270000,Capelle,Z
59057,Beaudignies,0000,590570000,Beaudignies,Z
59071,Bersée,0000,590710000,Bersée,Z
59398,Mérignies,0000,593980000,Mérignies,Z
59296,Hecq,0000,592960000,Hecq,Z
59213,Estourmel,0000,592130000,Estourmel,Z
59197,Ennevelin,0000,591970000,Ennevelin,Z
59427,La Neuville,0000,594270000,La Neuville,Z
59321,Inchy,0000,593210000,Inchy,Z
59384,Maroilles,0000,593840000,Maroilles,Z
59667,Zermezeele,0000,596670000,Zermezeele,Z
59548,Saint-Waast,0000,595480000,Saint-Waast,Z
59433,Nieurlet,0000,594330000,Nieurlet,Z
59274,La Groise,0000,592740000,La Groise,Z
59609,Vendeville,0000,596090000,Vendeville,Z
59211,Esquerchin,0000,592110000,Esquerchin,Z
59060,Beaurain,0000,590600000,Beaurain,Z
59160,Crespin,0000,591600000,Crespin,Z
59048,Bantigny,0000,590480000,Bantigny,Z
59242,Fontaine-au-Bois,0000,592420000,Fontaine-au-Bois,Z
59250,Fournes-en-Weppes,0000,592500000,Fournes-en-Weppes,Z
59091,Borre,0000,590910000,Borre,Z
59538,Saint-Momelin,0000,595380000,Saint-Momelin,Z
59287,Haucourt-en-Cambrésis,0000,592870000,Haucourt-en-Cambrésis,Z
59070,Bermeries,0000,590700000,Bermeries,Z
59530,Saint-Aybert,0000,595300000,Saint-Aybert,Z
59587,Terdeghem,0000,595870000,Terdeghem,Z
59280,Hamel,0000,592800000,Hamel,Z
59518,Ruesnes,0000,595180000,Ruesnes,Z
59624,Villers-Outréaux,0000,596240000,Villers-Outréaux,Z
59337,Lederzeele,0000,593370000,Lederzeele,Z
59440,Noyelles-sur-Selle,0000,594400000,Noyelles-sur-Selle,Z
59642,Warlaing,0000,596420000,Warlaing,Z
59278,Hallennes-lez-Haubourdin,0000,592780000,Hallennes-lez-Haubourdin,Z
59304,Herrin,0000,593040000,Herrin,Z
59413,Montigny-en-Cambrésis,0000,594130000,Montigny-en-Cambrésis,Z
59432,Niergnies,0000,594320000,Niergnies,Z
59320,Illies,0000,593200000,Illies,Z
59006,Amfroipret,0000,590060000,Amfroipret,Z
59308,Hondeghem,0000,593080000,Hondeghem,Z
59525,Sains-du-Nord,0000,595250000,Sains-du-Nord,Z
59593,Thun-l'Évêque,0000,595930000,Thun-l'Évêque,Z
59113,Bruille-lez-Marchiennes,0000,591130000,Bruille-lez-Marchiennes,Z
59125,Cantaing-sur-Escaut,0000,591250000,Cantaing-sur-Escaut,Z
59479,Quarouble,0000,594790000,Quarouble,Z
59424,Neuf-Mesnil,0000,594240000,Neuf-Mesnil,Z
59604,Troisvilles,0000,596040000,Troisvilles,Z
59221,Famars,0000,592210000,Famars,Z
59260,Ghyvelde,0000,592600000,Ghyvelde,Z
59351,Limont-Fontaine,0000,593510000,Limont-Fontaine,Z
59549,Salesches,0000,595490000,Salesches,Z
59354,Loffre,0000,593540000,Loffre,Z
59167,Cuvillers,0000,591670000,Cuvillers,Z
59326,Killem,0000,593260000,Killem,Z
59555,Sars-Poteries,0000,595550000,Sars-Poteries,Z
59617,Vieux-Mesnil,0000,596170000,Vieux-Mesnil,Z
59342,Lez-Fontaine,0000,593420000,Lez-Fontaine,Z
59041,Bachant,0000,590410000,Bachant,Z
59330,Landas,0000,593300000,Landas,Z
59528,Saint-Aubert,0000,595280000,Saint-Aubert,Z
59269,Gouzeaucourt,0000,592690000,Gouzeaucourt,Z
59288,Haulchin,0000,592880000,Haulchin,Z
59494,Raucourt-au-Bois,0000,594940000,Raucourt-au-Bois,Z
59082,Bierne,0000,590820000,Bierne,Z
59200,Eringhem,0000,592000000,Eringhem,Z
59465,Pommereuil,0000,594650000,Pommereuil,Z
59516,Rubrouck,0000,595160000,Rubrouck,Z
59149,Clary,0000,591490000,Clary,Z
59356,Lompret,0000,593560000,Lompret,Z
59446,Oisy,0000,594460000,Oisy,Z
59478,Quaëdypre,0000,594780000,Quaëdypre,Z
59375,Marchiennes,0000,593750000,Marchiennes,Z
59029,Auchy-lez-Orchies,0000,590290000,Auchy-lez-Orchies,Z
59547,Saint-Vaast-en-Cambrésis,0000,595470000,Saint-Vaast-en-Cambrésis,Z
59371,Le Maisnil,0000,593710000,Le Maisnil,Z
59345,Lewarde,0000,593450000,Lewarde,Z
59164,Croix-Caluyau,0000,591640000,Croix-Caluyau,Z
59475,Prouvy,0000,594750000,Prouvy,Z
59610,Verchain-Maugré,0000,596100000,Verchain-Maugré,Z
59469,Pradelles,0000,594690000,Pradelles,Z
59607,Vendegies-au-Bois,0000,596070000,Vendegies-au-Bois,Z
59634,Wallon-Cappel,0000,596340000,Wallon-Cappel,Z
59464,Poix-du-Nord,0000,594640000,Poix-du-Nord,Z
59173,Deûlémont,0000,591730000,Deûlémont,Z
59485,Quiévy,0000,594850000,Quiévy,Z
59665,Wylder,0000,596650000,Wylder,Z
59238,Flines-lès-Mortagne,0000,592380000,Flines-lès-Mortagne,Z
59519,Rumegies,0000,595190000,Rumegies,Z
59614,Viesly,0000,596140000,Viesly,Z
59647,Watten,0000,596470000,Watten,Z
59349,Ligny-en-Cambrésis,0000,593490000,Ligny-en-Cambrésis,Z
59206,Escaudoeuvres,0000,592060000,Escaudoeuvres,Z
59552,Sancourt,0000,595520000,Sancourt,Z
59044,Baisieux,0000,590440000,Baisieux,Z
59448,Oost-Cappel,0000,594480000,Oost-Cappel,Z
59322,Iwuy,0000,593220000,Iwuy,Z
59202,Erquinghem-Lys,0000,592020000,Erquinghem-Lys,Z
59270,Grand-Fayt,0000,592700000,Grand-Fayt,Z
59101,Bousignies-sur-Roc,0000,591010000,Bousignies-sur-Roc,Z
59557,Saultain,0000,595570000,Saultain,Z
59073,Berthen,0000,590730000,Berthen,Z
59377,Marcoing,0000,593770000,Marcoing,Z
59582,Strazeele,0000,595820000,Strazeele,Z
59191,Élincourt,0000,591910000,Élincourt,Z
59059,Beaumont-en-Cambrésis,0000,590590000,Beaumont-en-Cambrésis,Z
59581,Steenwerck,0000,595810000,Steenwerck,Z
59662,Winnezeele,0000,596620000,Winnezeele,Z
59501,Rieulay,0000,595010000,Rieulay,Z
59550,Salomé,0000,595500000,Salomé,Z
59061,Beaurepaire-sur-Sambre,0000,590610000,Beaurepaire-sur-Sambre,Z
59513,Roucourt,0000,595130000,Roucourt,Z
59597,Tilloy-lez-Cambrai,0000,595970000,Tilloy-lez-Cambrai,Z
59119,Buysscheure,0000,591190000,Buysscheure,Z
59146,Chéreng,0000,591460000,Chéreng,Z
59358,Looberghe,0000,593580000,Looberghe,Z
59451,Orsinval,0000,594510000,Orsinval,Z
59185,Écaillon,0000,591850000,Écaillon,Z
59305,Herzeele,0000,593050000,Herzeele,Z
59658,Wicres,0000,596580000,Wicres,Z
59578,Steenbecque,0000,595780000,Steenbecque,Z
59434,Nivelle,0000,594340000,Nivelle,Z
59439,Noyelles-sur-Sambre,0000,594390000,Noyelles-sur-Sambre,Z
59089,Bollezeele,0000,590890000,Bollezeele,Z
59541,Saint-Python,0000,595410000,Saint-Python,Z
59118,Busigny,0000,591180000,Busigny,Z
59100,Bousignies,0000,591000000,Bousignies,Z
59430,Neuvilly,0000,594300000,Neuvilly,Z
59620,Villers-au-Tertre,0000,596200000,Villers-au-Tertre,Z
59361,Lourches,0000,593610000,Lourches,Z
59415,Montrécourt,0000,594150000,Montrécourt,Z
59258,Genech,0000,592580000,Genech,Z
59381,Maresches,0000,593810000,Maresches,Z
59196,Ennetières-en-Weppes,0000,591960000,Ennetières-en-Weppes,Z
59629,Vred,0000,596290000,Vred,Z
59241,Floyon,0000,592410000,Floyon,Z
59193,Emmerin,0000,591930000,Emmerin,Z
59198,Eppe-Sauvage,0000,591980000,Eppe-Sauvage,Z
59223,Le Favril,0000,592230000,Le Favril,Z
59186,Eccles,0000,591860000,Eccles,Z
59208,Escobecques,0000,592080000,Escobecques,Z
59622,Villers-en-Cauchies,0000,596220000,Villers-en-Cauchies,Z
59420,Moustier-en-Fagne,0000,594200000,Moustier-en-Fagne,Z
59251,Frasnoy,0000,592510000,Frasnoy,Z
59369,Maing,0000,593690000,Maing,Z
59403,Millonfosse,0000,594030000,Millonfosse,Z
59306,Hestrud,0000,593060000,Hestrud,Z
59189,Eecke,0000,591890000,Eecke,Z
59027,Aubry-du-Hainaut,0000,590270000,Aubry-du-Hainaut,Z
59556,Sassegnies,0000,595560000,Sassegnies,Z
59086,Boeschepe,0000,590860000,Boeschepe,Z
59108,Briastre,0000,591080000,Briastre,Z
59366,Lynde,0000,593660000,Lynde,Z
59110,Brouckerque,0000,591100000,Brouckerque,Z
59335,Lecelles,0000,593350000,Lecelles,Z
59022,Attiches,0000,590220000,Attiches,Z
59652,Wavrechain-sous-Faulx,0000,596520000,Wavrechain-sous-Faulx,Z
59626,Villers-Pol,0000,596260000,Villers-Pol,Z
59657,West-Cappel,0000,596570000,West-Cappel,Z
59558,Saulzoir,0000,595580000,Saulzoir,Z
59422,Naves,0000,594220000,Naves,Z
59184,Ebblinghem,0000,591840000,Ebblinghem,Z
59338,Ledringhem,0000,593380000,Ledringhem,Z
59471,Préseau,0000,594710000,Préseau,Z
59666,Zegerscappel,0000,596660000,Zegerscappel,Z
